ano,datavotacao,orientacao,sigla,tipo,DEM,PCDOB,PDT,PEN,PHS,PMB,PMDB,PMN,PP,PPS,PR,PRB,PROS,PRP,PRTB,PSB,PSC,PSD,PSDB,PSDC,PSL,PSOL,PSTU,PT,PTB,PTC,PTDOB,PTN,PV,REDE,S.PART.,SD,Apoio Médio,year,month,day,weekday,hour
2007,2008-03-26 19:50:00,Sim,GOV.,MPV,0.0666666666666667,1.0,1.0,0.0,1.0,0.0,0.968253968253968,1.0,1.0,0.2,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.868852459016393,2008,3,2,26,19
1999,2009-05-05 18:19:00,Sim,GOV.,PLP,0.975609756097561,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.975609756097561,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.994134897360704,2009,5,1,5,18
2008,2008-05-28 22:09:00,Sim,GOV.,PDC,0.966666666666667,1.0,1.0,0.0,1.0,0.0,0.983870967741935,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.945945945945946,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.988795518207283,2008,5,2,28,22
2013,2015-03-12 17:26:00,Sim,GOV.,PLP,0.0952380952380952,0.888888888888889,0.785714285714286,0.0,0.0,0.0,0.1,1.0,0.266666666666667,1.0,1.0,1.0,0.9,0.333333333333333,1.0,0.740740740740741,0.125,0.857142857142857,0.0,1.0,1.0,1.0,0.0,1.0,0.25,1.0,1.0,1.0,0.4,0.0,0.0,0.0,0.520547945205479,2015,3,3,12,17
2013,2013-05-28 12:18:00,Não,GOV.,MPV,0.0,1.0,0.9375,0.5,1.0,0.0,0.977272727272727,1.0,0.928571428571429,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.04,0.0,0.0,1.0,1.0,0.0,0.984615384615385,1.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.73448275862069,2013,5,1,28,12
1996,2009-06-17 18:23:00,Não,GOV.,PL,1.0,1.0,0.166666666666667,0.0,0.0,0.0,1.0,1.0,0.827586206896552,1.0,0.92,1.0,0.0,0.0,0.0,0.944444444444444,1.0,0.0,0.818181818181818,0.0,0.0,1.0,0.0,1.0,0.923076923076923,0.5,0.0,0.0,0.125,0.0,0.0,0.0,0.879365079365079,2009,6,2,17,18
2012,2013-05-21 21:21:00,Sim,GOV.,MPV,0.0588235294117647,1.0,0.125,1.0,0.0,0.0,0.96078431372549,0.666666666666667,0.952380952380952,0.0,0.958333333333333,1.0,0.0,1.0,1.0,0.888888888888889,0.181818181818182,0.297297297297297,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.668407310704961,2013,5,1,21,21
2016,2016-10-25 21:24:00,Não,GOV.,PEC,1.0,0.0,0.0833333333333333,0.5,1.0,0.0,1.0,0.0,1.0,1.0,0.967741935483871,1.0,0.8,1.0,0.0,0.85,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.944444444444444,0.0,0.666666666666667,0.833333333333333,1.0,0.666666666666667,0.0,0.916666666666667,0.787061994609164,2016,10,1,25,21
2004,2005-03-16 19:32:00,Sim,GOV.,PEC,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.96875,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.997297297297297,2005,3,2,16,19
2015,2016-03-16 17:05:00,Não,GOV.,MPV,0.0,1.0,1.0,1.0,1.0,1.0,0.909090909090909,0.0,0.885714285714286,0.0,0.928571428571429,1.0,1.0,0.0,0.0,0.0416666666666667,0.555555555555556,0.931034482758621,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,0.0769230769230769,0.704714640198511,2016,3,2,16,17
2003,2004-01-28 20:40:00,Não,GOV.,MPV,0.166666666666667,1.0,1.0,0.0,0.0,0.0,0.982758620689655,0.0,1.0,1.0,0.935483870967742,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.147058823529412,0.0,1.0,0.0,0.0,1.0,0.911764705882353,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.817174515235457,2004,1,2,28,20
2012,2014-06-03 22:06:00,Sim,GOV.,PLP,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.982758620689655,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.996815286624204,2014,6,1,3,22
2005,2005-12-13 22:02:00,Não,GOV.,PL,0.387096774193548,1.0,1.0,0.0,0.0,0.0,0.622222222222222,0.0,0.964285714285714,0.272727272727273,1.0,0.5,0.0,0.0,0.0,0.857142857142857,1.0,0.0,0.107142857142857,0.0,0.0,1.0,0.0,1.0,0.473684210526316,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.722408026755853,2005,12,1,13,22
2015,2015-06-24 00:41:00,Sim,GOV.,PL,0.0588235294117647,1.0,0.928571428571429,1.0,0.666666666666667,0.0,0.94,0.5,0.576923076923077,0.0,0.892857142857143,1.0,0.5,1.0,0.0,0.0833333333333333,0.25,0.925925925925926,0.0,1.0,0.0,1.0,0.0,0.980392156862745,0.736842105263158,1.0,1.0,0.75,0.571428571428571,0.0,0.0,0.166666666666667,0.635678391959799,2015,6,2,24,0
2003,2004-01-22 11:27:00,Sim,GOV.,PDC,0.2,1.0,1.0,0.0,0.0,0.0,0.642857142857143,0.0,0.833333333333333,0.714285714285714,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0909090909090909,0.0,0.0,0.0,0.0,0.967741935483871,0.727272727272727,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.669642857142857,2004,1,3,22,11
2010,2011-05-18 13:48:00,Não,GOV.,MPV,0.235294117647059,1.0,0.91304347826087,0.0,1.0,0.0,0.795918367346939,1.0,0.888888888888889,0.375,1.0,1.0,0.0,1.0,0.0,0.958333333333333,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.928571428571429,0.0,1.0,0.0,0.888888888888889,0.0,0.0,0.0,0.845911949685535,2011,5,2,18,13
